season,round,raceName,circuitName,locality,country,raceDate,raceTime
2024,14,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,2024-07-28,13:00:00Z
2024,15,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,2024-08-25,13:00:00Z
2024,16,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,2024-09-01,13:00:00Z
2024,17,Azerbaijan Grand Prix,Baku City Circuit,Baku,Azerbaijan,2024-09-15,11:00:00Z
2024,18,Singapore Grand Prix,Marina Bay Street Circuit,Marina Bay,Singapore,2024-09-22,12:00:00Z
2024,19,United States Grand Prix,Circuit of the Americas,Austin,USA,2024-10-20,19:00:00Z
2024,20,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,Mexico City,Mexico,2024-10-27,20:00:00Z
2024,21,São Paulo Grand Prix,Autódromo José Carlos Pace,São Paulo,Brazil,2024-11-03,17:00:00Z
2024,22,Las Vegas Grand Prix,Las Vegas Strip Street Circuit,Las Vegas,USA,2024-11-23,06:00:00Z
2024,23,Qatar Grand Prix,Losail International Circuit,Lusail,Qatar,2024-12-01,16:00:00Z
2024,24,Abu Dhabi Grand Prix,Yas Marina Circuit,Abu Dhabi,UAE,2024-12-08,13:00:00Z
2025,1,Australian Grand Prix,Albert Park Grand Prix Circuit,Melbourne,Australia,2025-03-16,04:00:00Z
2025,2,Chinese Grand Prix,Shanghai International Circuit,Shanghai,China,2025-03-23,07:00:00Z
2025,3,Japanese Grand Prix,Suzuka Circuit,Suzuka,Japan,2025-04-06,05:00:00Z
2025,4,Bahrain Grand Prix,Bahrain International Circuit,Sakhir,Bahrain,2025-04-13,15:00:00Z
2025,5,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,2025-04-20,17:00:00Z
2025,6,Miami Grand Prix,Miami International Autodrome,Miami,USA,2025-05-04,20:00:00Z
2025,7,Emilia Romagna Grand Prix,Autodromo Enzo e Dino Ferrari,Imola,Italy,2025-05-18,13:00:00Z
2025,8,Monaco Grand Prix,Circuit de Monaco,Monte Carlo,Monaco,2025-05-25,13:00:00Z
2025,9,Spanish Grand Prix,Circuit de Barcelona-Catalunya,Barcelona,Spain,2025-06-01,13:00:00Z
2025,10,Canadian Grand Prix,Circuit Gilles Villeneuve,Montreal,Canada,2025-06-15,18:00:00Z
2025,11,Austrian Grand Prix,Red Bull Ring,Spielberg,Austria,2025-06-29,13:00:00Z
2025,12,British Grand Prix,Silverstone Circuit,Silverstone,UK,2025-07-06,14:00:00Z
2025,13,Belgian Grand Prix,Circuit de Spa-Francorchamps,Spa,Belgium,2025-07-27,13:00:00Z
2025,14,Hungarian Grand Prix,Hungaroring,Budapest,Hungary,2025-08-03,13:00:00Z
2025,15,Dutch Grand Prix,Circuit Park Zandvoort,Zandvoort,Netherlands,2025-08-31,13:00:00Z
2025,16,Italian Grand Prix,Autodromo Nazionale di Monza,Monza,Italy,2025-09-07,13:00:00Z
2025,17,Azerbaijan Grand Prix,Baku City Circuit,Baku,Azerbaijan,2025-09-21,11:00:00Z
2025,18,Singapore Grand Prix,Marina Bay Street Circuit,Marina Bay,Singapore,2025-10-05,12:00:00Z
2025,19,United States Grand Prix,Circuit of the Americas,Austin,USA,2025-10-19,19:00:00Z
2025,20,Mexico City Grand Prix,Autódromo Hermanos Rodríguez,Mexico City,Mexico,2025-10-26,20:00:00Z
2025,21,São Paulo Grand Prix,Autódromo José Carlos Pace,São Paulo,Brazil,2025-11-09,17:00:00Z
2025,22,Las Vegas Grand Prix,Las Vegas Strip Street Circuit,Las Vegas,USA,2025-11-23,04:00:00Z
2025,23,Qatar Grand Prix,Losail International Circuit,Lusail,Qatar,2025-11-30,16:00:00Z
2025,24,Abu Dhabi Grand Prix,Yas Marina Circuit,Abu Dhabi,UAE,2025-12-07,13:00:00Z
