"season","round","raceName","position","points","wins","constructorCode","constructorAbbr","constructor_name"
"2023","18","United States Grand Prix","3","322","1","ferrari","FER","Ferrari"
"2023","18","United States Grand Prix","4","242","0","mclaren","MCL","McLaren"
"2023","18","United States Grand Prix","5","236","0","aston_martin","AST","Aston Martin"
"2023","18","United States Grand Prix","6","100","0","alpine","ALP","Alpine F1 Team"
"2023","18","United States Grand Prix","7","26","0","williams","WIL","Williams"
"2023","18","United States Grand Prix","8","16","0","alfa","KCK","Alfa Romeo"
"2023","18","United States Grand Prix","9","12","0","haas","HAA","Haas F1 Team"
"2023","18","United States Grand Prix","10","10","0","alphatauri","","AlphaTauri"
"2023","19","Mexico City Grand Prix","1","731","18","red_bull","RED","Red Bull"
"2023","19","Mexico City Grand Prix","2","371","0","mercedes","MER","Mercedes"
"2023","19","Mexico City Grand Prix","3","349","1","ferrari","FER","Ferrari"
"2023","19","Mexico City Grand Prix","4","256","0","mclaren","MCL","McLaren"
"2023","19","Mexico City Grand Prix","5","236","0","aston_martin","AST","Aston Martin"
"2023","19","Mexico City Grand Prix","6","101","0","alpine","ALP","Alpine F1 Team"
"2023","19","Mexico City Grand Prix","7","28","0","williams","WIL","Williams"
"2023","19","Mexico City Grand Prix","8","16","0","alphatauri","","AlphaTauri"
"2023","19","Mexico City Grand Prix","9","16","0","alfa","KCK","Alfa Romeo"
"2023","19","Mexico City Grand Prix","10","12","0","haas","HAA","Haas F1 Team"
"2023","20","Ṣo Paulo Grand Prix","1","782","19","red_bull","RED","Red Bull"
"2023","20","Ṣo Paulo Grand Prix","2","382","0","mercedes","MER","Mercedes"
"2023","20","Ṣo Paulo Grand Prix","3","362","1","ferrari","FER","Ferrari"
"2023","20","Ṣo Paulo Grand Prix","4","282","0","mclaren","MCL","McLaren"
"2023","20","Ṣo Paulo Grand Prix","5","261","0","aston_martin","AST","Aston Martin"
"2023","20","Ṣo Paulo Grand Prix","6","108","0","alpine","ALP","Alpine F1 Team"
"2023","20","Ṣo Paulo Grand Prix","7","28","0","williams","WIL","Williams"
"2023","20","Ṣo Paulo Grand Prix","8","21","0","alphatauri","","AlphaTauri"
"2023","20","Ṣo Paulo Grand Prix","9","16","0","alfa","KCK","Alfa Romeo"
"2023","20","Ṣo Paulo Grand Prix","10","12","0","haas","HAA","Haas F1 Team"
"2023","21","Las Vegas Grand Prix","1","822","20","red_bull","RED","Red Bull"
"2023","21","Las Vegas Grand Prix","2","392","0","mercedes","MER","Mercedes"
"2023","21","Las Vegas Grand Prix","3","388","1","ferrari","FER","Ferrari"
"2023","21","Las Vegas Grand Prix","4","284","0","mclaren","MCL","McLaren"
"2023","21","Las Vegas Grand Prix","5","273","0","aston_martin","AST","Aston Martin"
"2023","21","Las Vegas Grand Prix","6","120","0","alpine","ALP","Alpine F1 Team"
"2023","21","Las Vegas Grand Prix","7","28","0","williams","WIL","Williams"
"2023","21","Las Vegas Grand Prix","8","21","0","alphatauri","","AlphaTauri"
"2023","21","Las Vegas Grand Prix","9","16","0","alfa","KCK","Alfa Romeo"
"2023","21","Las Vegas Grand Prix","10","12","0","haas","HAA","Haas F1 Team"
